"","ID","SiteNumber","Lat","Long","intersection","HUC","elevation","elev_units","geometry"
"129",129,"03430.3*A",30.3580556,-85.7955556,6249,"031401010603",19.52,"meters",c(-85.7955556, 30.3580556)
"130",130,"03435.*A",30.4733333,-87.1863889,54639,"031401050401",28.38,"meters",c(-87.1863889, 30.4733333)
"131",131,"03455.*A",26.9188889,-81.9908333,1870,"031001011108",6.37,"meters",c(-81.9908333, 26.9188889)
"132",132,"03484.*A",27.3952778,-82.5541667,5849,"031002010102",6.56,"meters",c(-82.5541667, 27.3952778)
"133",133,"03468.*A",29.9591667,-81.3397222,89085,"030802010502",1.55,"meters",c(-81.3397222, 29.9591667)
"134",134,"03475.*A",27.9086111,-82.6863889,10720,"031002060602",1.91,"meters",c(-82.6863889, 27.9086111)
"135",135,"03509.1*A",30.3966667,-84.3508333,89713,"031200010601",17.46,"meters",c(-84.3508333, 30.3966667)
"136",136,"03513.*A",27.9752778,-82.5330556,9497,"031002060203",7.34,"meters",c(-82.5330556, 27.9752778)
"137",137,"03532.*A",28.5147222,-80.7991667,102084,"030802020202",8.97,"meters",c(-80.7991667, 28.5147222)
"138",138,"03534.*A",30.4830556,-86.5258333,8517,"031401020604",21.27,"meters",c(-86.5258333, 30.4830556)
"139",139,"03540.*A",27.6555556,-80.4177778,89556,"030802030303",5.65,"meters",c(-80.4177778, 27.6555556)
"140",140,"03555.*A",26.6830556,-80.0955556,102146,"030902060800",3.87,"meters",c(-80.0955556, 26.6830556)
"141",141,"03616.*A",31.5352778,-84.1944444,85313,"031300080202",57.55,"meters",c(-84.1944444, 31.5352778)
"142",142,"03637.*A",33.9486111,-83.3258333,13705,"030701010505",241.67,"meters",c(-83.3258333, 33.9486111)
"143",143,"03640.*A",33.6366667,-84.4277778,13804,"031300050101",304.65,"meters",c(-84.4277778, 33.6366667)
"144",144,"03650.*A",33.3697222,-81.9644444,89069,"030601060607",41.27,"meters",c(-81.9644444, 33.3697222)
"145",145,"03683.*A",31.2588889,-81.4661111,7225,"030702030201",7.97,"meters",c(-81.4661111, 31.2588889)
"146",146,"03728.*A",32.5161111,-84.9386111,11528,"031300030303",117.57,"meters",c(-84.9386111, 32.5161111)
"147",147,"03902.*A",32.6927778,-83.6491667,5900,"030701031506",105.88,"meters",c(-83.6491667, 32.6927778)
"148",148,"03992.*A",32.1275,-81.2019444,89076,"030601090307",10.79,"meters",c(-81.2019444, 32.1275)
"149",149,"04071.*A",30.7811111,-83.2761111,8907,"031102021001",59.65,"meters",c(-83.2761111, 30.7811111)
"150",150,"51510.*A",13.4838889,-144.7969444,NA,"",NA,"meters",c(-144.7969444, 13.4838889)
"151",151,"52095.*A",19.72,-155.0483333,8699,"200100000407",8.53,"meters",c(-155.04832867531, 19.7200044547601)
"152",152,"52161.*A",21.3177778,-157.92,8133,"200600000305",1.78,"meters",c(-157.919994691416, 21.3177819375629)
"153",153,"52240.*A",20.8986111,-156.4302778,9119,"200200000202",7,"meters",c(-156.430272833573, 20.8986152971344)
"154",154,"52250.2*A",19.7386111,-156.0455556,8747,"200100001105",12.19,"meters",c(-156.04555075489, 19.738615576447)
"155",155,"52294.*A",21.1527778,-157.0961111,8107,"200500000402",132,"meters",c(-157.096105978195, 21.1527819532675)
"156",156,"52390.*A",20.9627778,-156.6727778,8149,"200200000704",77.82,"meters",c(-156.672772777926, 20.9627819881583)
"157",157,"52402.*A",20.7855556,-156.9513889,8180,"200400000401",396,"meters",c(-156.951383822491, 20.7855598406925)
"158",158,"52420.*A",21.9758333,-159.3388889,8201,"200700000206",33.01,"meters",c(-159.338883256644, 21.9758373208523)
"159",159,"05884.*A",41.8844444,-91.7105556,13542,"070802081007",261.72,"meters",c(-91.7105556, 41.8844444)
"160",160,"05950.*A",41.5338889,-93.6630556,89784,"071000061703",275.11,"meters",c(-93.6630556, 41.5338889)
"161",161,"05957.*A",42.4019444,-90.7094444,6673,"070600060702",320.71,"meters",c(-90.7094444, 42.4019444)
"162",162,"05999.*A",42.5511111,-94.1916667,89934,"071000040404",340.31,"meters",c(-94.1916667, 42.5511111)
"163",163,"06164.*A",43.1577778,-93.3311111,11713,"070802030203",363.53,"meters",c(-93.3311111, 43.1577778)
"164",164,"06341.*A",42.4025,-96.3841667,89989,"102300010305",333.46,"meters",c(-96.3841667, 42.4025)
"165",165,"06402.*A",42.5569444,-92.4002778,3788,"070802050702",264.46,"meters",c(-92.4002778, 42.5569444)
"166",166,"04149.*A",43.5641667,-116.2227778,75287,"170501140202",868.56,"meters",c(-116.2227778, 43.5641667)
"167",167,"04177.*A",47.7741667,-116.8194444,74338,"170103050200",700.47,"meters",c(-116.8194444, 47.7741667)
"168",168,"04206.*A",43.5036111,-114.2955556,96704,"170402190602",1612.08,"meters",c(-114.2955556, 43.5036111)
"169",169,"04209.*A",43.5136111,-112.0705556,9693,"170402010503",1446.06,"meters",c(-112.0705556, 43.5136111)
"170",170,"04234.*A",46.3744444,-117.0152778,79749,"170601030307",436.09,"meters",c(-117.0152778, 46.3744444)
"171",171,"04288.*A",42.9097222,-112.5958333,75786,"170402060904",1355.87,"meters",c(-112.5958333, 42.9097222)
"172",172,"04344.1*A",42.4816667,-114.4875,75004,"170402120607",1261.98,"meters",c(-114.4875, 42.4816667)
"173",173,"04372.*A",38.8897222,-90.0458333,10589,"071401010206",163.09,"meters",c(-90.0458333, 38.8897222)
"174",174,"04413.*A",38.545,-89.835,10568,"071402040510",128.07,"meters",c(-89.835, 38.545)
"175",175,"04431.*A",40.4769444,-88.9158333,5895,"071300090503",262.94,"meters",c(-88.9158333, 40.4769444)
"176",176,"04458.8*A",38.5702778,-90.155,14523,"071401010503",123.67,"meters",c(-90.155, 38.5702778)
"177",177,"04477.*A",37.7780556,-89.2519444,7091,"071401060809",124.72,"meters",c(-89.2519444, 37.7780556)
"178",178,"04494.*A",40.0386111,-88.2777778,7201,"071402010203",228.03,"meters",c(-88.2777778, 40.0386111)
"179",179,"04507.*A",41.7858333,-87.7522222,7119,"071200040705",185.05,"meters",c(-87.7522222, 41.7858333)
"180",180,"04508.*A",41.9772222,-87.9077778,7057,"071200040506",201.01,"meters",c(-87.9077778, 41.9772222)
"181",181,"04974.*A",42.1952778,-89.0972222,13061,"070900060803",221.22,"meters",c(-89.0972222, 42.1952778)
"182",182,"04564.*A",39.8344444,-88.8655556,9982,"071300060409",205.94,"meters",c(-88.8655556, 39.8344444)
"183",183,"04850.*A",37.7547222,-89.0108333,6933,"071401060705",142.5,"meters",c(-89.0108333, 37.7547222)
"184",184,"04858.1*A",39.4777778,-88.2797222,8823,"051201120603",218.99,"meters",c(-88.2797222, 39.4777778)
"185",185,"04868.*A",41.4480556,-90.5075,12149,"070900051301",176.37,"meters",c(-90.5075, 41.4480556)
"186",186,"04891.*A",38.3233333,-88.8583333,89042,"071401060102",142.53,"meters",c(-88.8583333, 38.3233333)
"187",187,"04938.*A",40.6641667,-89.6930556,89422,"071300030303",196.55,"meters",c(-89.6930556, 40.6641667)
"188",188,"04958.*A",39.9427778,-91.1944444,3381,"071300110201",231.59,"meters",c(-91.1944444, 39.9427778)
"189",189,"05008.*A",39.8441667,-89.6780556,88766,"071300080203",179.76,"meters",c(-89.6780556, 39.8441667)
"190",190,"05126.*A",39.1458333,-86.6166667,87905,"051202020301",253.64,"meters",c(-86.6166667, 39.1458333)
"191",191,"05192.*A",39.2616667,-85.8961111,16271,"051202050606",198.46,"meters",c(-85.8961111, 39.2616667)
"192",192,"05257.*A",38.0405556,-87.5283333,520,"051402020303",116.44,"meters",c(-87.5283333, 38.0405556)
"193",193,"05282.*A",40.9783333,-85.195,470,"051201011003",242.53,"meters",c(-85.195, 40.9783333)
"194",194,"05303.*A",41.6172222,-87.4144444,30994,"071200030406",179.09,"meters",c(-87.4144444, 41.6172222)
"195",195,"05375.*A",39.7172222,-86.2944444,88377,"051202011309",236.59,"meters",c(-86.2944444, 39.7172222)
"196",196,"05412.*A",40.4122222,-86.9366667,60827,"051201080203",181.72,"meters",c(-86.9366667, 40.4122222)
"197",197,"05511.*A",40.2422222,-85.3955556,86282,"051202010302",284.67,"meters",c(-85.3955556, 40.2422222)
"198",198,"05661.*A",41.7080556,-86.3172222,54309,"040500012207",234.79,"meters",c(-86.3172222, 41.7080556)
"199",199,"05689.*A",39.4513889,-87.3075,87575,"051201110603",175.27,"meters",c(-87.3075, 39.4513889)
"200",200,"05701.*A",41.4538889,-87.0069444,7619,"071200011004",231.5,"meters",c(-87.0069444, 41.4538889)
"201",201,"06557.*A",37.7630556,-99.9652778,85338,"110300060204",788.59,"meters",c(-99.9652778, 37.7630556)
"202",202,"06621.*A",37.9275,-100.7241667,60258,"110300030101",878.75,"meters",c(-100.7241667, 37.9275)
"203",203,"06636.*A",38.3441667,-98.8591667,86288,"110300040503",573.6,"meters",c(-98.8591667, 38.3441667)
"204",204,"06650.1*A",38.8422222,-99.2730556,88327,"102600070304",607.52,"meters",c(-99.2730556, 38.8422222)
"205",205,"06685.*A",38.0652778,-97.8605556,86952,"110300120304",462.46,"meters",c(-97.8605556, 38.0652778)
"206",206,"06729.*A",37.0438889,-100.9597222,64729,"110400060506",875.61,"meters",c(-100.9597222, 37.0438889)
"207",207,"06748.*A",39.1411111,-96.6716667,64422,"102701010207",318.58,"meters",c(-96.6716667, 39.1411111)
"208",208,"06878.*A",38.7905556,-97.6522222,15700,"102600100407",382.22,"meters",c(-97.6522222, 38.7905556)
"209",209,"06932.*A",38.9508333,-95.6636111,62896,"102701040104",319.11,"meters",c(-95.6636111, 38.9508333)
"210",210,"06975.4*A",37.6497222,-97.4330556,20050,"110300130105",401.53,"meters",c(-97.4330556, 37.6497222)
"211",211,"07055.*A",36.9644444,-86.4194444,85446,"051100020607",159.39,"meters",c(-86.4194444, 36.9644444)
"212",212,"07090.*A",39.0486111,-84.6677778,85977,"050902030806",263.04,"meters",c(-84.6677778, 39.0486111)
"213",213,"07233.*A",38.0366667,-84.6086111,63919,"051002050901",281.68,"meters",c(-84.6086111, 38.0366667)
"214",214,"07243.*A",38.1738889,-85.7363889,19248,"051401021201",143.87,"meters",c(-85.7363889, 38.1738889)
"215",215,"07308.1*A",37.7386111,-87.1666667,86449,"051100050307",121.36,"meters",c(-87.1666667, 37.7386111)
"216",216,"07312.*A",37.0602778,-88.7727778,64204,"051402060303",122.22,"meters",c(-88.7727778, 37.0602778)
"217",217,"07411.*A",31.3272222,-92.5483333,87492,"080801020204",25.12,"meters",c(-92.5483333, 31.3272222)
"218",218,"07425.*A",30.5327778,-91.1497222,63747,"080702010402",20.47,"meters",c(-91.1497222, 30.5327778)
"219",219,"07589.*A",30.205,-91.9875,64606,"080801030109",11.86,"meters",c(-91.9875, 30.205)
"220",220,"07594.3*A",30.2105556,-93.1430556,84318,"080802030705",4.64,"meters",c(-93.1430556, 30.2105556)
"221",221,"07594.1*A",30.1258333,-93.2233333,64709,"080802060201",3.08,"meters",c(-93.2233333, 30.1258333)
"222",222,"07658.*A",32.5108333,-92.0375,32388,"080500011306",23.52,"meters",c(-92.0375, 32.5108333)
"223",223,"07670.*A",30.0375,-91.8838889,31334,"080801030205",6.25,"meters",c(-91.8838889, 30.0375)
"224",224,"07675.*A",29.9930556,-90.2588889,32086,"080902030102",-0.37,"meters",c(-90.2588889, 29.9930556)
"225",225,"07735.*A",32.4463889,-93.8255556,64160,"111402060104",68.92,"meters",c(-93.8255556, 32.4463889)
"226",226,"08750.*A",42.4697222,-71.2888889,20981,"010700061301",37.81,"meters",c(-71.2888889, 42.4697222)
"227",227,"08778.*A",42.3627778,-71.0063889,15601,"010900011005",4.37,"meters",c(-71.0063889, 42.3627778)
"228",228,"08995.*A",41.6691667,-70.2802778,15612,"010900020203",9.26,"meters",c(-70.2802778, 41.6691667)
"229",229,"09110.*A",41.2527778,-70.0597222,1553,"010900020700",9.31,"meters",c(-70.0597222, 41.2527778)
"230",230,"09304.02*A",42.1938889,-72.5347222,82718,"010802040402",71.69,"meters",c(-72.5347222, 42.1938889)
"231",231,"09362.*A",41.3933333,-70.6136111,1554,"010900020602",17.59,"meters",c(-70.6136111, 41.3933333)
"232",232,"09398.*A",42.1577778,-72.7158333,13202,"010802060305",79.69,"meters",c(-72.7158333, 42.1577778)
"233",233,"09462.*A",42.2669444,-71.8755556,15644,"010900030101",299.24,"meters",c(-71.8755556, 42.2669444)
"234",234,"08456.*A",39.1755556,-76.6688889,64896,"020600031102",44.45,"meters",c(-76.6688889, 39.1755556)
"235",235,"08569.*A",39.7083333,-77.7263889,87274,"020700041005",212.16,"meters",c(-77.7263889, 39.7083333)
"236",236,"08645.*A",38.34,-75.5094444,85746,"020801100302",13.99,"meters",c(-75.5094444, 38.34)
